92	3	4	2	4	2	3	1	3	3	3	1	27	1	US
93	4	4	1	4	2	4	3	4	2	1	2	27	3	MY
94	4	4	1	4	2	4	3	2	2	2	1	20	1	US
95	3	3	3	2	2	3	2	3	2	3	1	30	3	GB
96	3	3	1	3	2	3	0	3	2	2	2	27	3	US
97	3	3	2	3	1	4	4	2	1	1	2	0	3	US
98	3	4	1	3	2	3	3	3	2	1	2	27	3	US
99	3	4	2	3	2	3	3	2	3	3	1	44	3	GB
100	4	0	2	4	2	3	3	3	3	4	2	23	3	CA
101	4	3	1	3	2	3	3	2	1	2	2	21	3	ID
102	3	0	0	0	0	0	0	0	0	0	2	22	3	US
103	3	3	3	2	3	2	2	4	3	2	2	16	3	US
104	3	3	2	4	1	3	3	3	3	1	1	21	1	MX
105	4	3	1	4	1	3	4	3	2	1	2	21	2	CN
106	3	3	2	3	2	2	3	3	2	3	2	51	3	GB
107	2	3	2	3	2	3	2	3	0	3	2	35	3	BR
108	3	3	2	3	2	2	2	3	3	3	2	33	1	DE
109	3	4	4	4	2	3	2	4	4	1	2	58	3	US
110	4	3	3	4	1	3	3	2	3	3	1	41	1	NL
111	3	3	2	3	3	2	2	3	2	3	2	21	3	US
112	2	2	4	2	4	1	1	2	4	4	1	19	1	US
113	4	4	1	4	1	4	4	1	1	1	2	66	3	US
114	2	2	3	2	3	2	2	3	4	4	1	39	1	US
115	4	4	1	3	1	3	4	1	1	1	1	31	3	GB
116	4	4	1	4	1	4	4	3	3	1	2	27	3	KR
117	3	3	1	3	1	3	3	1	3	2	2	30	3	PT
118	4	4	2	3	4	4	3	2	1	1	2	21	3	US
119	4	3	2	2	2	2	2	3	3	3	2	20	3	US
120	4	4	1	3	2	4	3	2	3	2	1	62	1	US
121	2	3	3	3	3	2	2	3	3	3	1	18	3	TR
122	2	2	3	2	3	2	2	3	3	3	2	19	3	US
123	3	4	2	4	2	3	3	2	3	2	2	35	1	US
124	3	3	4	3	2	3	4	1	3	2	1	35	3	BG
125	3	4	3	4	3	2	2	4	2	2	2	40	3	US
126	4	4	3	2	3	2	2	3	3	2	1	46	1	US
127	4	3	3	2	2	2	2	2	3	1	2	23	3	US
128	3	4	2	3	2	3	3	3	3	2	2	14	1	ES
129	3	3	2	3	3	2	2	2	2	2	1	49	1	GB
130	4	4	1	4	1	3	3	1	2	1	2	51	3	DE
131	4	4	1	4	1	4	4	4	1	1	1	20	1	US
132	4	4	2	2	3	3	1	4	3	3	1	23	3	US
133	3	4	2	3	2	3	3	2	2	2	1	21	1	NZ
134	3	3	3	3	3	2	1	2	3	3	1	49	3	IL
135	2	2	4	4	2	2	2	4	4	3	2	34	1	US
136	2	3	3	3	3	2	1	3	3	3	1	22	1	US
137	3	3	2	3	2	3	3	2	1	1	1	33	3	GB
138	2	3	2	4	1	4	4	3	3	3	2	24	3	PL
139	2	2	1	1	1	1	1	3	1	1	1	19	3	US
140	4	4	1	4	3	3	3	3	1	1	2	55	3	AU
141	4	3	2	3	3	2	2	3	1	1	1	21	1	MX
142	2	3	3	3	4	2	2	4	3	3	1	62	3	US
143	2	3	2	3	2	2	3	3	2	3	2	23	3	NL
144	3	3	2	3	2	3	3	2	4	2	1	34	1	NL
145	4	4	1	4	1	3	2	4	2	1	2	39	3	CA
146	4	4	4	4	4	2	2	3	4	4	1	45	3	US
147	3	3	3	3	2	2	2	4	3	3	2	41	1	US
148	3	3	2	3	2	3	3	3	2	2	2	20	3	US
149	3	3	3	3	3	2	2	3	3	4	2	29	3	US
150	4	4	1	4	4	4	4	2	1	1	2	28	3	PL
151	3	3	1	3	1	3	3	4	2	2	2	39	1	DE
152	1	3	3	2	2	4	3	4	2	2	2	25	3	ID
153	4	4	1	4	1	3	2	2	1	1	1	29	1	DE
154	3	4	4	2	3	2	1	4	4	4	1	49	3	IN
155	3	3	3	3	2	2	3	1	3	3	1	22	3	CA
156	2	3	3	2	4	2	2	3	2	2	2	45	1	US
157	1	1	4	3	4	2	2	3	4	4	2	39	1	GB
158	4	4	2	3	3	3	3	2	2	1	1	51	3	US
159	4	4	1	4	2	3	3	2	2	2	2	45	3	US
160	3	3	2	3	2	3	3	3	3	2	2	43	3	AU
161	4	4	4	4	4	3	1	2	1	2	2	33	1	US
162	3	3	3	2	2	2	2	3	3	3	2	46	1	US
163	2	2	3	2	4	2	1	4	3	3	1	16	1	CA
164	4	3	2	3	2	2	2	3	1	3	2	26	3	US
165	3	3	3	3	2	3	2	3	3	3	1	39	1	ZA
166	3	3	2	3	2	3	3	3	2	3	1	44	1	US
167	4	4	2	4	2	3	3	3	3	3	1	26	3	US
168	4	4	1	4	1	4	4	1	1	1	1	21	1	US
169	4	4	1	3	2	3	3	2	2	2	1	23	3	AU
170	2	2	3	2	4	1	1	4	4	4	1	41	3	US
171	4	4	1	4	1	4	4	1	1	1	1	35	1	HK
172	3	3	1	3	2	4	4	1	3	1	1	20	3	GB
173	3	3	3	2	2	3	2	4	3	3	2	18	3	US
174	3	3	2	3	3	2	2	4	1	1	2	42	1	US
175	3	4	2	3	2	3	3	3	2	2	1	44	3	AU
176	3	4	1	3	2	3	3	3	3	3	1	44	3	AU
177	3	3	2	3	4	3	3	3	4	3	2	34	1	AU
178	4	4	1	3	1	3	3	3	2	2	1	32	3	US
179	4	4	2	4	1	3	3	3	2	2	1	61	1	CA
180	2	3	3	2	3	2	1	3	1	4	1	28	3	GB
181	4	4	1	3	1	3	4	3	2	1	2	21	3	US
182	3	3	3	3	3	2	1	4	4	4	2	27	1	CA
183	3	4	3	4	3	4	4	4	4	4	1	39	3	US
184	3	4	1	4	2	4	3	2	2	2	1	39	3	US
185	2	1	4	2	4	2	1	4	4	4	2	33	3	DE
186	3	3	3	2	4	1	1	4	4	4	1	41	3	BE
187	4	4	1	4	1	4	3	2	2	1	2	54	1	US
188	3	3	3	2	2	2	2	3	3	3	2	44	1	US
189	4	4	1	4	1	4	4	1	1	1	1	32	3	GR
190	1	4	4	2	4	1	1	4	4	4	1	27	3	GB
191	4	4	1	4	1	4	4	1	1	1	2	13	1	US
192	3	4	1	4	1	3	3	2	1	1	2	19	1	PH
193	3	4	2	3	3	2	2	4	2	1	2	49	1	US
194	3	3	1	2	3	2	1	3	4	3	1	26	3	IN
195	1	3	3	3	3	2	2	3	3	3	1	21	1	US
196	4	4	4	4	4	2	1	4	4	2	1	53	1	US
197	3	3	2	3	2	3	3	1	1	3	1	37	3	US
198	4	4	0	3	1	4	4	2	1	1	2	40	1	ES
199	4	4	1	3	1	3	3	3	3	1	2	51	3	JP
